GNG_stim,match
affective_go_stimuli\puppy_14.jpeg,['space']
affective_go_stimuli\puppy_20.jpeg,['space']
affective_no_go_stimuli\spider_17.jpeg,
affective_no_go_stimuli\spider_13.jpeg,
affective_go_stimuli\puppy_26.jpeg,['space']
affective_no_go_stimuli\spider_20.jpg,
affective_no_go_stimuli\spider_4.jpeg,
affective_go_stimuli\puppy_22.jpeg,['space']
affective_go_stimuli\puppy_1.jpg,['space']
affective_go_stimuli\puppy_7.jpg,['space']
affective_no_go_stimuli\spider_23.jpg,
affective_go_stimuli\puppy_3.jpg,['space']
affective_no_go_stimuli\spider_15.jpeg,
affective_no_go_stimuli\spider_8.jpeg,
