go_stim,match,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,go_instructions_text.started,go_instructions_text.stopped,go_instructions_resp.keys,go_instructions_resp.rt,go_instructions_resp.started,go_instructions_resp.stopped,inter_stim_text.started,inter_stim_text.stopped,go_trial_text.started,go_trial_text.stopped,go_resp.keys,go_resp.corr,go_resp.started,go_resp.stopped,go_image.started,go_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
affective_go_stimuli\puppy_14.jpeg,['space'],0,0,0,0,0,0,0,6,74.0399952000007,None,space,7.2804840999997396,74.0399952000007,None,81.33565129999988,None,86.3849924999995,None,None,0,86.3849924999995,None,86.3849924999995,86.8877078000005,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_22.jpeg,['space'],0,0,0,0,0,1,1,8,,,,,,,89.84619580000071,None,95.86704250000184,None,None,0,95.86704250000184,None,95.86704250000184,96.36867590000111,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_21.jpeg,['space'],0,0,0,0,0,2,2,9,,,,,,,99.35815240000011,None,104.36458780000248,None,None,0,104.36458780000248,None,104.36458780000248,104.8643903000011,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_12.jpeg,['space'],0,0,0,0,0,3,3,2,,,,,,,107.86353729999973,None,112.88518880000265,None,None,0,112.88518880000265,None,112.88518880000265,113.38847060000262,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_19.jpeg,['space'],0,0,0,0,0,4,4,3,,,,,,,116.36881920000087,None,123.40029050000157,None,None,0,123.40029050000157,None,123.40029050000157,123.90006150000045,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_29.jpg,['space'],0,0,0,0,0,5,5,11,,,,,,,126.88059040000007,None,130.89648940000188,None,None,0,130.89648940000188,None,130.89648940000188,131.39844840000296,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_7.jpg,['space'],0,0,0,0,0,6,6,12,,,,,,,134.38609650000217,None,141.40288770000188,None,None,0,141.40288770000188,None,141.40288770000188,141.905481400001,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_5.jpg,['space'],0,0,0,0,0,7,7,0,,,,,,,144.89792320000197,None,150.94384040000295,None,None,0,150.94384040000295,None,150.94384040000295,151.44264830000247,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_23.jpeg,['space'],0,0,0,0,0,8,8,5,,,,,,,154.40993580000213,None,158.43602590000228,None,None,0,158.43602590000228,None,158.43602590000228,158.93940920000023,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_17.jpeg,['space'],0,0,0,0,0,9,9,13,,,,,,,161.91546930000186,None,167.93620060000103,None,None,0,167.93620060000103,None,167.93620060000103,168.43903520000094,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_28.jpg,['space'],0,0,0,0,0,10,10,1,,,,,,,171.4274585000021,None,178.44801160000134,None,None,0,178.44801160000134,None,178.44801160000134,178.94806980000067,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_27.jpg,['space'],0,0,0,0,0,11,11,4,,,,,,,181.93928460000097,None,187.95350790000157,None,None,0,187.95350790000157,None,187.95350790000157,188.4560437,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_6.jpg,['space'],0,0,0,0,0,12,12,7,,,,,,,191.45124130000113,None,196.45859870000277,None,None,0,196.45859870000277,None,196.45859870000277,196.9616160000005,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
affective_go_stimuli\puppy_9.jpg,['space'],0,0,0,0,0,13,13,10,,,,,,,199.9566218,None,204.96448430000237,None,None,0,204.96448430000237,None,204.96448430000237,205.46654800000033,1,001,2022_Feb_11_1534,affective_go_no_go,2021.2.3,143.87785346123096,
