inter_stim_interval,go_stim,match,GNG_loop.thisRepN,GNG_loop.thisTrialN,GNG_loop.thisN,GNG_loop.thisIndex,go_block.thisRepN,go_block.thisTrialN,go_block.thisN,go_block.thisIndex,GNG_block.thisRepN,GNG_block.thisTrialN,GNG_block.thisN,GNG_block.thisIndex,inter_stim_inverval,GNG_stim,inter_stim_plus.started,inter_stim_plus.stopped,go_resp.keys,go_resp.corr,go_resp.rt,go_resp.started,go_resp.stopped,go_image.started,go_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.5,affective_go_stimuli\puppy_10.jpg,1,0,0,0,0,0,0,0,0,,,,,,,16.967442900000606,None,space,1,0.4111863999860361,22.52795120002702,None,22.52795120002702,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
6.5,affective_go_stimuli\puppy_9.jpg,1,0,0,0,0,0,1,1,1,,,,,,,22.955656700010877,None,space,1,0.3343014999991283,29.475852600007784,None,29.475852600007784,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
4.0,affective_go_stimuli\puppy_20.jpeg,1,0,0,0,0,0,2,2,2,,,,,,,29.821894800057635,None,space,1,0.32238830003188923,33.84880350000458,None,33.84880350000458,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
5.0,affective_go_stimuli\puppy_22.jpeg,1,0,0,0,0,0,3,3,3,,,,,,,34.181288600026164,None,space,1,0.45117040001787245,39.20287710003322,None,39.20287710003322,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
5.0,affective_go_stimuli\puppy_15.jpeg,1,0,0,0,0,0,4,4,4,,,,,,,39.666717000014614,None,space,1,0.43033209996065125,44.68872170004761,None,44.68872170004761,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
5.5,affective_go_stimuli\puppy_18.jpeg,1,0,0,0,0,0,5,5,5,,,,,,,45.13113010005327,None,space,1,0.2657069999841042,50.669809900049586,None,50.669809900049586,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
5.0,affective_go_stimuli\puppy_4.jpg,1,0,0,0,0,0,6,6,6,,,,,,,50.9462416000315,None,space,1,0.24319130001822487,55.96950360003393,None,55.96950360003393,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
4.5,affective_go_stimuli\puppy_16.jpeg,1,0,0,0,0,0,7,7,7,,,,,,,56.22677690000273,None,space,1,0.3075506999739446,60.75229270005366,None,60.75229270005366,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
6.5,affective_go_stimuli\puppy_7.jpg,1,0,0,0,0,0,8,8,8,,,,,,,61.07515800005058,None,space,1,0.2520174999954179,67.58952870004578,None,67.58952870004578,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
6.0,affective_go_stimuli\puppy_28.jpg,1,0,0,0,0,0,9,9,9,,,,,,,67.85201540001435,None,space,1,0.31479099998250604,73.88618910004152,None,73.88618910004152,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
4.5,affective_go_stimuli\puppy_3.jpg,1,0,0,0,0,0,10,10,10,,,,,,,74.21409240004141,None,space,1,0.38313239999115467,78.73476420005318,None,78.73476420005318,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
6.5,affective_go_stimuli\puppy_17.jpeg,1,0,0,0,0,0,11,11,11,,,,,,,79.12921400001505,None,space,1,0.2896931000286713,85.6630271000322,None,85.6630271000322,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
4.0,affective_go_stimuli\puppy_30.jpg,1,0,0,0,0,0,12,12,12,,,,,,,85.96434840001166,None,space,1,0.2979782999609597,89.98794380004983,None,89.98794380004983,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
4.5,affective_go_stimuli\puppy_29.jpg,1,0,0,0,0,0,13,13,13,,,,,,,90.30341130000306,None,space,1,0.22675599996000528,94.83736550004687,None,94.83736550004687,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
5.5,affective_go_stimuli\puppy_26.jpeg,1,0,0,0,0,0,14,14,14,,,,,,,95.07961410004646,None,space,1,0.24548219999996945,100.60004730004584,None,100.60004730004584,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
6.0,affective_go_stimuli\puppy_5.jpg,1,0,0,0,0,0,15,15,15,,,,,,,100.85938080004416,None,space,1,0.32610269996803254,106.90552880003816,None,106.90552880003816,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
6.0,affective_go_stimuli\puppy_8.jpg,1,0,0,0,0,0,16,16,16,,,,,,,107.24026840005536,None,space,1,0.3044817000045441,113.25454310001805,None,113.25454310001805,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
5.5,affective_go_stimuli\puppy_21.jpeg,1,0,0,0,0,0,17,17,17,,,,,,,113.56992990005529,None,space,1,0.39230740000493824,119.08889900002396,None,119.08889900002396,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
6.0,affective_go_stimuli\puppy_27.jpg,1,0,0,0,0,0,18,18,18,,,,,,,119.49250800005393,None,space,1,0.47045650001382455,125.51315420004539,None,125.51315420004539,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
4.0,affective_go_stimuli\puppy_6.jpg,1,0,0,0,0,0,19,19,19,,,,,,,125.99402350001037,None,space,1,0.31280610000249,130.01216150005348,None,130.01216150005348,None,,001,2022_Mar_21_0615,affective_go_no_go,2021.2.3,143.7924097065239,
,,,,,,,,,,,,,,,,,159.5654016000335,None,,,,,,,,,,,,,,
