task_order,num_stim,match,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,instructions_text.started,instructions_text.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,practice_instructions_text.started,practice_instructions_text.stopped,practice_instructions_resp.keys,practice_instructions_resp.rt,practice_instructions_resp.started,practice_instructions_resp.stopped,exp_zero_back_text.started,exp_zero_back_text.stopped,exp_one_back_text.started,exp_one_back_text.stopped,exp_two_back_text.started,exp_two_back_text.stopped,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,stim_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.136538100021426,None,space,0.3951960999984294,8.136538100021426,None,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
,,,,,,,,,,,,,,,,,8.545317000010982,None,space,0.4982379999710247,8.545317000010982,None,,,,,,,,,,,,,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9.095444400038105,None,9.095444400038105,None,9.095444400038105,None,14.145700099994428,14.651417399989441,None,0,14.145700099994428,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,4,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,17.58700170001248,18.088341900031082,None,0,17.58700170001248,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,5,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,21.09717650001403,21.601607299991883,None,0,21.09717650001403,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,2,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,24.602951000037137,25.10771900002146,None,0,24.602951000037137,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,9,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,28.101514500041958,28.607055000029504,None,0,28.101514500041958,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,3,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,31.61636109999381,32.120340100023896,None,0,31.61636109999381,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,4,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,35.11394730000757,35.6194942999864,None,0,35.11394730000757,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,8,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,38.62939270003699,39.132720199995674,None,0,38.62939270003699,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,4,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,42.12903120002011,42.63207729998976,None,0,42.12903120002011,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,5,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,45.634289200010244,None,space,0,45.634289200010244,None,0.3985848000156693,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,6,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,46.050919500004966,46.554981200024486,None,0,46.050919500004966,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,2,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,49.55820329999551,None,space,0,49.55820329999551,None,0.3793963000061922,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,2,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,49.94973900000332,50.45003250002628,None,0,49.94973900000332,None,,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
two_back2,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,53.463450699986424,53.963248900021426,space,0,53.463450699986424,53.463450699986424,0.8996488000266254,,001,2022_Mar_01_2100,n_back - alt,2021.2.3,143.93977556829788,
